"";"Macro family";"Sample size";"Performance self";"Performance Nostratic";"Performance NON Nostratic";"Performance Dummies"
"1";"_IE_";34723;0,797720797720798;0,0261961069674368;0,0023858756163512;0,00287610619469027
"2";"_AA_";6806;0,37593984962406;0,00809199318568995;0,00595829195630586;0,00205882352941176
"3";"Uralic";4107;1;0,0756646216768916;0,00491803278688525;0,002
"4";"Turkic";5295;1;0,0305630026809651;0,00252844500632111;0,00346153846153846
"5";"Mongolic";1254;1;0,0281385281385281;0,00546448087431694;0,00333333333333333
"6";"Tungusic";1242;1;0,0107758620689655;0;0,00166666666666667
"7";"Dravidian";1971;1;0,00139082058414465;0,00843881856540084;0,003
"8";"Kartvelian";420;NA;0,00641025641025641;0,0163934426229508;0
"9";"Caucasian";3280;0,214285714285714;0,00241545893719807;0;0,000625
"10";"Niger_Congo";1668;0,333333333333333;0,00159235668789809;0,0175438596491228;0,00125
"11";"Bantoo";2433;0,866666666666667;0;0,0162866449511401;0
"12";"Sino_Tibetan";2059;0,5;0,00259403372243839;0,0183150183150183;0
"13";"Austroasiatic";1254;0,666666666666667;0;0,0114942528735632;0,00166666666666667
"14";"_MP_";3700;0,611111111111111;0,00568990042674253;0,012847965738758;0,00222222222222222
"15";"Tai_Kadai";2043;0,8;0,00261780104712042;0,0189393939393939;0,007
"16";"Eskimo";2074;0,9;0,00384122919334187;0;0,003
"17";"Korean";420;NA;0,00636942675159236;0,05;0,015
"18";"Japan";395;NA;0;0;0
"19";"Ainu";420;NA;0;0;0,01
"20";"Burushaski";420;NA;0;0;0
"21";"Basque";420;NA;0;0;0,005
"22";"Summerian";411;NA;0;0;0
"23";"Elamite";416;NA;0,00649350649350649;0;0,01
